model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
LinearSVC,100,False,32000,0.40514358926283556,0.39729551451187334,0.9265022968032249,0.9188654353562006,0.170997
LinearSVC,100,False,33000,0.4055028635495894,0.39729551451187334,0.9260931486924638,0.9186675461741425,0.165026
LinearSVC,100,False,34000,0.407723302255816,0.3976912928759894,0.9266492161995236,0.9189973614775726,0.169994
LinearSVC,100,False,35000,0.40427416359532586,0.3971635883905013,0.9266878089197451,0.9191952506596306,0.217004
LinearSVC,100,False,36000,0.40637760062220496,0.39775725593667544,0.9271686897586178,0.9195910290237467,0.196986
LinearSVC,100,False,37000,0.4059890273235858,0.39742744063324537,0.9264614469879192,0.9189313984168865,0.194002
LinearSVC,100,False,38000,0.40777874266466674,0.39689973614775725,0.9261072077050604,0.9193931398416887,0.201999
LinearSVC,100,False,39000,0.4088356708802338,0.39696569920844327,0.9260018973872465,0.9195910290237467,0.199
LinearSVC,100,False,40000,0.40753981150471236,0.39696569920844327,0.925476863078423,0.9191292875989446,0.23999
LinearSVC,100,False,41000,0.4054779151728007,0.3971635883905013,0.9253432843101388,0.9190633245382586,0.213978
LinearSVC,100,False,42000,0.4076331515916288,0.3972295514511873,0.9252874931549249,0.9190633245382586,0.228009
LinearSVC,100,False,43000,0.4072463431082998,0.3967678100263852,0.9250249994186182,0.9187335092348285,0.230996
LinearSVC,100,False,44000,0.40751346560305446,0.3971635883905013,0.9245017158700939,0.9182717678100264,0.242981
LinearSVC,100,False,45000,0.4035688095820093,0.3970976253298153,0.9245794537899158,0.9185356200527705,0.334003
LinearSVC,100,False,46000,0.4070346296819634,0.39729551451187334,0.9247190278472207,0.9186015831134564,0.273015
LinearSVC,100,False,47000,0.4066296461777409,0.3972295514511873,0.9248313865662433,0.9184696569920844,0.290015
LinearSVC,100,False,48000,0.404970729776463,0.3972295514511873,0.9249598966688194,0.9183377308707124,0.286007
LinearSVC,100,False,49000,0.4075631109569193,0.3971635883905013,0.9249403073406666,0.9184036939313984,0.29698
